eigenvalue	proportion	cumulative
  0.32963	  0.00032	  0.98752	0.153pixel_295-0.144pixel_168-0.119pixel_401+0.118pixel_807-0.113pixel_744...
  0.32026	  0.00031	  0.98783	-0.179pixel_775-0.177pixel_200-0.135pixel_137+0.133pixel_263-0.127pixel_69...
  0.31346	  0.00031	  0.98813	-0.172pixel_871-0.157pixel_655-0.138pixel_903-0.127pixel_627+0.12 pixel_809...
  0.30168	  0.00029	  0.98843	-0.156pixel_775+0.128pixel_841-0.126pixel_839-0.125pixel_872+0.117pixel_1024...
  0.29704	  0.00029	  0.98872	-0.184pixel_200-0.122pixel_402-0.122pixel_712-0.114pixel_648-0.107pixel_294...
  0.29022	  0.00028	  0.989  	0.158pixel_656+0.137pixel_777-0.123pixel_558-0.12pixel_903+0.119pixel_623...
  0.28213	  0.00028	  0.98928	-0.171pixel_839+0.169pixel_136+0.16 pixel_809+0.142pixel_777+0.127pixel_201...
  0.27865	  0.00027	  0.98955	-0.173pixel_807+0.125pixel_367+0.119pixel_871+0.112pixel_1024+0.111pixel_168...
  0.27457	  0.00027	  0.98982	-0.123pixel_295+0.116pixel_489+0.116pixel_465-0.099pixel_527+0.098pixel_305...
  0.26356	  0.00026	  0.99008	-0.216pixel_200+0.182pixel_839-0.136pixel_295+0.111pixel_329+0.107pixel_378...
  0.25831	  0.00025	  0.99033	0.133pixel_404+0.126pixel_327-0.125pixel_336-0.109pixel_589+0.1  pixel_658...
  0.24735	  0.00024	  0.99057	0.268pixel_840-0.158pixel_743+0.129pixel_711+0.115pixel_1024+0.104pixel_626...
  0.2424 	  0.00024	  0.99081	0.153pixel_809-0.152pixel_232+0.145pixel_968+0.14 pixel_378-0.14pixel_808...
  0.23713	  0.00023	  0.99104	-0.138pixel_775+0.133pixel_231-0.131pixel_264-0.125pixel_743-0.117pixel_336...
  0.23408	  0.00023	  0.99127	-0.195pixel_809+0.187pixel_200+0.135pixel_841+0.122pixel_680+0.118pixel_594...
  0.23027	  0.00022	  0.99149	-0.17pixel_808-0.16pixel_809+0.133pixel_840-0.119pixel_403+0.119pixel_841...
  0.22418	  0.00022	  0.99171	0.154pixel_168-0.137pixel_809-0.131pixel_839+0.129pixel_992+0.114pixel_687...
  0.21879	  0.00021	  0.99192	0.157pixel_808-0.132pixel_681-0.129pixel_711-0.125pixel_424-0.116pixel_264...
  0.21357	  0.00021	  0.99213	-0.149pixel_840-0.138pixel_623-0.134pixel_297+0.123pixel_904-0.121pixel_777...
  0.21071	  0.00021	  0.99234	-0.154pixel_232-0.142pixel_872+0.141pixel_434+0.138pixel_903+0.129pixel_499...
  0.20611	  0.0002 	  0.99254	-0.155pixel_680+0.147pixel_368-0.132pixel_168-0.125pixel_99+0.12 pixel_233...
  0.20272	  0.0002 	  0.99274	-0.153pixel_200-0.153pixel_457-0.127pixel_775-0.121pixel_401+0.119pixel_263...
  0.19486	  0.00019	  0.99293	-0.224pixel_840+0.15 pixel_809+0.133pixel_264+0.129pixel_441-0.121pixel_296...
  0.19298	  0.00019	  0.99312	0.129pixel_936-0.127pixel_937+0.116pixel_873+0.112pixel_809-0.111pixel_532...
  0.19019	  0.00019	  0.9933 	-0.183pixel_232+0.178pixel_233+0.122pixel_433+0.112pixel_872-0.108pixel_937...
  0.18838	  0.00018	  0.99349	-0.149pixel_231+0.144pixel_297+0.134pixel_775-0.129pixel_489+0.119pixel_132...
  0.18221	  0.00018	  0.99366	0.164pixel_807-0.136pixel_841+0.131pixel_595-0.129pixel_168+0.121pixel_776...
  0.17549	  0.00017	  0.99384	0.15 pixel_409+0.127pixel_137-0.115pixel_468-0.114pixel_622+0.114pixel_808...
  0.17219	  0.00017	  0.994  	-0.135pixel_430-0.126pixel_401-0.126pixel_839-0.115pixel_931+0.106pixel_425...
  0.16617	  0.00016	  0.99417	0.164pixel_936+0.147pixel_1024-0.131pixel_712+0.12 pixel_282+0.112pixel_839...
  0.16311	  0.00016	  0.99433	0.183pixel_713-0.132pixel_777-0.131pixel_744-0.128pixel_903+0.11 pixel_390...
  0.16035	  0.00016	  0.99448	0.145pixel_809-0.129pixel_135+0.119pixel_744+0.118pixel_839-0.116pixel_232...
  0.15651	  0.00015	  0.99463	0.19 pixel_809-0.174pixel_423+0.15 pixel_295-0.128pixel_337-0.12pixel_135...
  0.15034	  0.00015	  0.99478	0.156pixel_434-0.134pixel_262-0.129pixel_595-0.118pixel_904-0.114pixel_537...
  0.14875	  0.00015	  0.99493	-0.143pixel_399-0.132pixel_537-0.121pixel_137+0.12 pixel_712-0.119pixel_377...
  0.14557	  0.00014	  0.99507	-0.156pixel_200+0.135pixel_690+0.118pixel_297-0.117pixel_423+0.116pixel_462...
  0.14298	  0.00014	  0.99521	0.235pixel_841+0.127pixel_992+0.12 pixel_744-0.106pixel_620-0.104pixel_467...
  0.13875	  0.00014	  0.99534	0.159pixel_936-0.146pixel_841-0.141pixel_623-0.132pixel_687+0.126pixel_365...
  0.13755	  0.00013	  0.99548	-0.116pixel_903-0.115pixel_590-0.115pixel_264+0.108pixel_390-0.108pixel_658...
  0.1349 	  0.00013	  0.99561	0.199pixel_689-0.128pixel_1024+0.123pixel_336+0.113pixel_809-0.113pixel_807...
  0.13381	  0.00013	  0.99574	-0.222pixel_809-0.174pixel_872-0.102pixel_737+0.101pixel_742-0.101pixel_136...
